,precision,recall,f1-score,support
negative,0.9146067415730337,0.8954,0.9049014653865589,5000.0
positive,0.8975514201762977,0.9164,0.9068777832756061,5000.0
accuracy,0.9059,0.9059,0.9059,0.9059
macro avg,0.9060790808746657,0.9058999999999999,0.9058896243310826,10000.0
weighted avg,0.9060790808746657,0.9059,0.9058896243310824,10000.0
